Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Artwork frame material (product.metafields.shopify.artwork-frame-material),Color (product.metafields.shopify.color-pattern),Frame style (product.metafields.shopify.frame-style),Theme (product.metafields.shopify.theme),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
air-force-marathon,,,,,,,,,24x36,,,Natural Oak,,,,,95j11j39p31-s1p-24x36-na-oak-am,6750.633805762,,continue,manual,250.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/20b63825-20c4-4a1a-b13f-f8fa3230e1d4.preview.lg.jpg?v=1759280921,lb,,,,,,,,,
air-force-marathon,,,,,,,,,24x36,,,Black Oak,,,,,95j11j39p31-s1p-24x36-bl-oak-am,6750.633805762,,continue,manual,250.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/20b63825-20c4-4a1a-b13f-f8fa3230e1d4.preview.lg.jpg?v=1759280921,lb,,,,,,,,,
atm,Army Ten Miler Personalized Race Print,"<p><em>*Disclaimer: This artwork is an independent commemorative piece and is not affiliated with or endorsed by the Army Ten Miler.</em><strong></strong></p>
<p>Trackstar's Army Ten Miler print is a customizable print featuring the runner's name, official time, pace, and race-day weather.</p>
<p>Each print is personalized with:</p>
<ul class=""nml__editor__content__bullet__list"">
<li class=""nml__editor__content__listItem"">
<p><span></span>The runner’s name, bib number, finish time, pace</p>
</li>
<li class=""nml__editor__content__listItem"">
<p><span></span>The official race date</p>
</li>
<li class=""nml__editor__content__listItem"">
<p><span></span>Actual race-day weather</p>
</li>
<li class=""nml__editor__content__listItem"">
<p><span></span>And a beautifully illustrated race course map</p>
</li>
</ul>",Artelo,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork > Prints","","personalized, YGroup_personalized",true,Size,8x10,,Frame,Unframed,,,,,90bs0vrwu2c-s1p-8x10-unf-am,96.932689469,,continue,manual,60.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/a5b39ac4-a0c4-406d-a035-8dd4e8199594.preview.lg.jpg?v=1766080209,1,"",false,,,500044,,,,,,,,,,,,'58,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/a5b39ac4-a0c4-406d-a035-8dd4e8199594.preview.lg.jpg?v=1766080209,lb,,,true,,,true,,,active
atm,,,,,,,,,8x10,,,Natural Oak,,,,,90bs0vrwu2c-s1p-8x10-na-oak-am,777.774836839,,continue,manual,85.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/61477441-9ef7-49fa-8e22-24961bf64534.preview.lg.jpg?v=1766080209,2,"",,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/a5b39ac4-a0c4-406d-a035-8dd4e8199594.preview.lg.jpg?v=1766080209,lb,,,,,,,,,
atm,,,,,,,,,8x10,,,Black Oak,,,,,90bs0vrwu2c-s1p-8x10-bl-oak-am,777.774836839,,continue,manual,85.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/146bd2a7-9acc-463d-b93c-2bc64d854e70.preview.lg.jpg?v=1766080209,3,"",,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/a5b39ac4-a0c4-406d-a035-8dd4e8199594.preview.lg.jpg?v=1766080209,lb,,,,,,,,,
atm,,,,,,,,,12x18,,,Unframed,,,,,90bs0vrwu2c-s1p-12x18-unf-am,196.496214684,,continue,manual,80.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/95abf91a-ea39-44f9-9459-8630e41e6bb5.preview.lg.jpg?v=1766080209,4,"",,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/a5b39ac4-a0c4-406d-a035-8dd4e8199594.preview.lg.jpg?v=1766080209,lb,,,,,,,,,
atm,,,,,,,,,12x18,,,Natural Oak,,,,,90bs0vrwu2c-s1p-12x18-na-pok-am,1846.438460559,,continue,manual,140.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/b3c886e8-59fa-436e-9479-725ad57458b0.preview.lg.jpg?v=1766080209,5,"",,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/a5b39ac4-a0c4-406d-a035-8dd4e8199594.preview.lg.jpg?v=1766080209,lb,,,,,,,,,
atm,,,,,,,,,12x18,,,Black Oak,,,,,90bs0vrwu2c-s1p-12x18-bl-pok-am,1846.438460559,,continue,manual,140.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/30348c6b-dd70-4003-9823-c147d5ab2906.preview.lg.jpg?v=1766080210,6,"",,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/a5b39ac4-a0c4-406d-a035-8dd4e8199594.preview.lg.jpg?v=1766080209,lb,,,,,,,,,
atm,,,,,,,,,16x24,,,Unframed,,,,,90bs0vrwu2c-s1p-16x24-unf-am,221.398435797,,continue,manual,100.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/1abda8f2-0fa7-4da0-86eb-70a53fcba8cf.preview.lg.jpg?v=1766080209,7,"",,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/a5b39ac4-a0c4-406d-a035-8dd4e8199594.preview.lg.jpg?v=1766080209,lb,,,,,,,,,
atm,,,,,,,,,16x24,,,Natural Oak,,,,,90bs0vrwu2c-s1p-16x24-na-pok-am,3232.117791672,,continue,manual,190.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/93d97778-9e49-42fc-870e-025f1e829270.preview.lg.jpg?v=1766080209,8,"",,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/a5b39ac4-a0c4-406d-a035-8dd4e8199594.preview.lg.jpg?v=1766080209,lb,,,,,,,,,
